UniqueCount	AmbigCount
0	0
0	0
314	1617
116	1331
662	821
2	0
9	0
3	7
4	0
0	0
10	0
6	0
10	27
19	9
1	0
0	0
0	0
0	0
0	0
1	2
0	2
0	2
1	2
0	0
0	0
1	33
0	25
0	32
0	22
0	11
0	5
0	12
0	14
0	3
0	0
0	0
0	2
0	0
0	0
0	1
0	13
0	0
0	0
0	0
0	264
0	279
11	511
2	132
0	388
7	83
0	225
0	102
7	34
0	184
264	307
0	182
0	108
1	91
3	226
0	118
1	63
1	284
204	2702
11	2603
1	97
5	16
7	188
3	172
2	109
0	70
0	70
2	28
0	0
0	0
1	1
2	3
0	0
2	4587
146	6366
107	1599
10	4509
14	696
6	828
304	6164
10	2085
0	0
0	10
0	0
3	31
63	94
0	41
0	82
3	44
0	0
0	0
0	7
19	0
0	0
3	193
0	356
77	4260
1	146
1	109
0	1543
0	3804
23	573
0	1701
4	60
5	486
5	74
5	189
2	533
5	105
0	896
26	67
0	3
0	63
7	0
0	10
0	0
8	69
0	67
0	67
0	68
0	5
0	12
0	54
0	45
0	20
0	66
0	2
0	3
0	4
0	6
2	0
0	0
0	580
0	0
0	0
0	0
0	0
1312	3016
0	421
0	23
0	2051
0	719
7	220
9	2830
18	2759
1	1
38	16
0	236
0	0
0	0
0	0
7	1
0	0
5	0
3	0
0	0
0	0
0	0
0	0
0	3
0	0
0	997
0	1046
0	1093
7	760
0	233
1	73
0	568
27	269
5	267
0	3
6	17
4	0
0	11
3	1
0	0
0	0
0	2
0	3
0	0
0	0
0	0
0	26
1	3
0	0
2	0
0	0
0	0
0	0
0	0
0	0
171	2
13	242
9	226
1	39
0	51
0	200
4	11
0	10
38	2487
2	37
0	11
0	482
17222	2855
0	0
95	84
0	84
0	7
0	16
0	23
2882	182
0	176
0	105
0	1
0	0
0	7
0	0
0	0
5	458
1	466
0	481
5	14
0	378
4	426
1	461
0	30
0	81
1	410
4	48
3	56
1	22
1	0
3	16
0	50
0	37
7	46
2	19
2	13
4	381
7	237
0	107
0	226
22	241
1	0
4	5
0	3
0	2
0	6
0	22
2	24
0	16
0	11
1	16
0	0
0	0
132	1326
1	773
8	839
0	488
6	759
2	369
3	208
5	8
0	17
28	222
34	31
0	27
0	98
0	18
2	137
23	155
0	30
0	103
2	30
0	25
1	209
0	31
66	18
0	26
9	18
2	18
1	10
0	5
0	8
0	36
0	3
1	8
4	3
0	20
1	0
1249	2310
0	224
1	293
16	191
0	33
0	1573
3	81
0	167
0	0
7	2
1	13
7	13
0	1
0	2
0	0
1	5
0	0
0	0
0	0
0	1
0	5
0	0
1931	1648
5	88
0	555
0	207
0	194
0	187
0	634
1	176
0	0
0	0
0	0
20	3740
