UniqueCount	AmbigCount
0	0
0	0
423	2303
216	1861
796	1230
1	0
8	0
1	6
5	2
0	0
4	0
5	0
5	33
8	14
5	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
1	0
0	0
0	0
4	85
0	63
0	69
0	58
0	17
1	6
0	23
0	27
1	1
0	0
0	0
0	11
0	0
0	0
0	0
0	5
0	0
0	0
0	0
0	280
1	306
26	622
1	146
0	471
16	108
1	260
0	117
12	28
0	284
517	479
0	283
0	171
0	133
1	364
1	208
7	84
0	367
182	2694
5	2615
0	113
11	28
11	303
8	299
3	175
0	122
0	91
2	12
0	1
0	0
0	4
5	2
0	0
1	3925
69	5376
103	1342
10	3912
13	565
2	691
302	5262
8	1892
0	0
0	13
0	0
4	50
61	80
1	41
0	78
3	43
0	0
0	0
0	15
15	0
0	0
0	232
0	397
61	5021
2	237
1	125
0	1987
0	4415
7	695
0	1822
3	62
0	548
0	92
3	185
2	591
11	74
2	975
29	112
0	4
0	105
3	0
0	9
1	0
28	181
1	56
0	55
2	53
0	2
0	6
0	42
0	40
0	12
0	54
0	7
0	5
0	3
0	3
1	0
0	0
0	587
0	0
0	0
0	0
0	0
1252	3701
0	457
0	25
0	2568
0	812
3	233
7	3457
15	3416
0	2
43	26
0	190
0	0
0	0
0	0
4	0
1	0
1	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	1145
0	1240
0	1313
15	966
0	250
2	73
0	592
36	384
3	378
2	2
7	17
1	0
0	18
1	2
0	0
2	0
0	1
0	3
0	0
0	0
0	0
0	42
0	1
0	0
5	0
0	1
0	0
0	0
0	0
0	0
478	2
8	368
4	352
1	44
2	74
0	306
2	5
0	14
43	1809
0	32
0	5
0	907
17350	2193
0	0
123	102
2	102
0	12
0	13
0	30
4274	313
0	317
0	153
0	0
0	0
0	9
0	0
0	0
1	484
0	485
0	500
2	16
0	373
1	441
0	483
0	27
0	67
0	426
1	43
3	61
0	14
0	0
2	18
0	34
0	27
5	34
2	18
1	5
7	243
3	172
0	88
0	154
18	150
2	0
7	9
0	8
0	0
0	5
0	15
1	16
2	11
2	10
0	8
0	0
0	0
47	937
1	551
11	575
0	345
12	516
0	235
2	132
9	5
0	16
34	292
25	34
0	33
0	118
0	14
3	155
14	174
0	26
0	114
0	28
0	24
0	274
0	37
48	13
0	25
4	16
1	23
1	16
0	10
0	8
0	58
0	10
0	10
1	6
0	32
0	0
1277	2560
0	242
0	321
8	210
0	44
0	1746
0	92
0	274
3	0
4	1
0	10
8	10
1	0
0	0
0	0
0	6
0	0
0	0
0	0
0	5
0	1
0	0
2707	2299
9	76
0	778
2	306
0	260
0	269
0	963
0	295
1	0
0	1
0	0
